,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,1995,AGO,Angola,,,,7.52,4.03,,,5.57
,1995,ALB,Albania,5.47,86,3,7.17,5.89,4.34,5.90,4.04
,1995,ARE,"United Arab Emirates",6.84,41,2,5.98,4.53,9.98,,6.87
,1995,ARG,Argentina,6.87,40,2,8.18,5.41,6.31,7.49,6.98
,1995,ARM,Armenia,,,,4.19,5.13,,,2.97
,1995,AUS,Australia,8.23,7,1,6.73,8.62,9.63,7.93,8.25
,1995,AUT,Austria,7.58,21,1,5.07,8.15,9.55,8.74,6.42
,1995,AZE,Azerbaijan,,,,7.11,3.96,,,4.09
,1995,BDI,Burundi,4.26,114,4,7.56,3.59,5.95,1.38,2.81
,1995,BEL,Belgium,7.87,15,1,5.14,7.35,9.73,9.28,7.84
,1995,BEN,Benin,5.19,95,4,6.62,2.97,5.05,,6.12
,1995,BFA,"Burkina Faso",,,,3.48,4.22,,,5.29
,1995,BGD,Bangladesh,4.91,103,4,7.44,3.58,6.58,1.94,5.00
,1995,BGR,Bulgaria,4.84,104,4,4.38,5.80,1.59,6.79,5.66
,1995,BHR,Bahrain,6.62,49,2,6.74,3.34,9.58,7.02,6.41
,1995,BHS,"Bahamas, The",6.63,48,2,8.92,6.51,6.86,4.24,
,1995,BIH,"Bosnia and Herzegovina",,,,2.89,4.59,,,6.12
,1995,BLR,Belarus,,,,5.91,5.04,,,6.71
,1995,BLZ,Belize,6.10,66,3,7.04,4.52,7.11,5.71,
,1995,BOL,Bolivia,6.58,51,2,6.61,4.06,8.25,8.21,5.76
,1995,BRA,Brazil,4.34,111,4,6.10,5.09,0.00,5.69,4.80
,1995,BRB,Barbados,6.79,43,2,6.69,5.92,7.18,5.99,8.17
,1995,BRN,"Brunei Darussalam",,,,,6.62,,,
,1995,BTN,Bhutan,,,,4.67,6.46,,,
,1995,BWA,Botswana,6.22,63,3,4.64,5.54,7.75,5.95,7.24
,1995,CAF,"Central African Republic",4.52,108,4,4.79,2.64,5.08,5.69,4.39
,1995,CAN,Canada,7.96,12,1,5.75,7.83,9.72,8.31,8.18
,1995,CHE,Switzerland,8.43,5,1,7.35,8.29,9.63,9.23,7.62
,1995,CHL,Chile,7.39,26,1,7.84,6.49,8.65,6.86,7.08
,1995,CHN,China,5.01,101,4,4.21,5.27,5.48,5.83,4.24
,1995,CIV,"Côte d'Ivoire",5.18,96,4,5.67,3.90,4.97,6.08,5.26
,1995,CMR,Cameroon,5.23,94,4,5.57,3.82,5.95,5.90,4.89
,1995,COD,"Congo, Dem. Rep.",3.15,122,4,5.29,1.39,0.00,6.27,2.79
,1995,COG,"Congo, Rep.",5.30,90,3,6.91,3.82,5.83,6.89,3.03
,1995,COL,Colombia,5.93,73,3,7.56,4.73,5.03,6.30,6.04
,1995,COM,Comoros,,,,2.31,,,,
,1995,CPV,"Cabo Verde",,,,7.79,7.33,,,
,1995,CRI,"Costa Rica",7.58,21,1,7.76,5.73,7.92,8.09,8.40
,1995,CYP,Cyprus,6.75,44,2,6.75,7.03,7.25,5.83,6.89
,1995,CZE,Czechia,6.49,54,2,5.87,7.19,5.93,7.82,5.66
,1995,DEU,Germany,8.00,10,1,5.96,8.18,9.76,9.55,6.53
,1995,DJI,Djibouti,,,,2.61,,,,
,1995,DNK,Denmark,7.81,16,1,4.12,8.87,9.76,8.26,8.05
,1995,DOM,"Dominican Republic",5.81,79,3,8.51,4.79,4.30,5.48,5.95
,1995,DZA,Algeria,3.89,117,4,5.49,3.66,5.25,1.57,3.46
,1995,ECU,Ecuador,6.47,56,2,8.40,4.51,7.01,6.84,5.61
,1995,EGY,"Egypt, Arab Rep.",5.24,93,3,4.83,3.89,7.48,4.99,5.05
,1995,ESP,Spain,7.46,23,1,5.71,7.20,9.61,7.85,6.93
,1995,EST,Estonia,6.08,67,3,6.32,6.56,2.30,9.27,5.96
,1995,ETH,Ethiopia,,,,3.88,4.03,,,5.00
,1995,FIN,Finland,7.60,19,1,4.69,8.33,9.55,8.27,7.18
,1995,FJI,Fiji,6.46,57,2,6.22,5.69,7.02,7.47,5.92
,1995,FRA,France,7.41,25,1,4.99,7.80,9.83,7.76,6.70
,1995,GAB,Gabon,5.36,88,3,5.73,3.45,5.32,6.07,6.22
,1995,GBR,"United Kingdom",8.32,6,1,6.40,8.72,9.57,8.30,8.62
,1995,GEO,Georgia,,,,4.71,4.60,,,2.13
,1995,GHA,Ghana,5.28,91,3,5.93,5.32,3.97,5.51,5.69
,1995,GIN,Guinea,,,,7.00,3.02,,,6.01
,1995,GMB,"Gambia, The",,,,5.64,5.18,,,6.56
,1995,GNB,Guinea-Bissau,3.53,120,4,5.53,2.63,1.61,,4.34
,1995,GRC,Greece,6.64,47,2,6.09,6.86,7.34,7.29,5.62
,1995,GTM,Guatemala,7.26,30,1,9.38,3.99,8.39,8.58,5.96
,1995,GUY,Guyana,5.18,96,4,4.61,6.06,4.67,,5.39
,1995,HKG,"Hong Kong SAR, China",9.15,1,1,9.25,7.86,9.43,9.98,9.25
,1995,HND,Honduras,6.35,60,2,6.77,4.04,7.16,8.33,5.43
,1995,HRV,Croatia,4.70,106,4,3.72,5.26,4.47,5.79,4.29
,1995,HTI,Haiti,6.36,59,2,8.66,4.31,6.30,,6.15
,1995,HUN,Hungary,6.59,50,2,5.97,7.51,5.87,7.22,6.39
,1995,IDN,Indonesia,6.38,58,2,7.49,3.69,8.84,6.67,5.20
,1995,IND,India,5.55,85,3,6.31,5.78,6.48,3.45,5.73
,1995,IRL,Ireland,7.92,13,1,5.90,7.97,9.60,7.87,8.27
,1995,IRN,"Iran, Islamic Rep.",4.34,111,4,5.26,4.18,4.57,3.52,4.14
,1995,IRQ,Iraq,,,,,2.29,,,
,1995,ISL,Iceland,7.59,20,1,5.91,7.86,9.57,7.33,7.28
,1995,ISR,Israel,6.52,52,2,5.05,7.12,7.30,7.07,6.08
,1995,ITA,Italy,6.96,39,2,5.25,6.56,9.58,7.57,5.86
,1995,JAM,Jamaica,7.07,36,2,7.77,6.49,6.26,6.78,8.05
,1995,JOR,Jordan,5.90,75,3,6.14,4.07,7.15,5.91,6.22
,1995,JPN,Japan,8.01,9,1,6.17,7.84,9.83,8.53,7.64
,1995,KAZ,Kazakhstan,,,,8.26,5.55,,,5.67
,1995,KEN,Kenya,5.96,72,3,6.00,5.30,6.50,6.38,5.60
,1995,KGZ,"Kyrgyz Republic",,,,,3.59,,,3.25
,1995,KHM,Cambodia,,,,3.81,2.99,,,3.78
,1995,KOR,"Korea, Rep.",7.25,31,1,7.48,6.63,8.02,7.04,7.10
,1995,KWT,Kuwait,6.49,54,2,3.91,5.18,9.03,8.47,5.88
